name,userId,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,oldrank_1,oldrank_2,oldrank_3
Louise Jones,1406,Pulp Fiction (1994),"Usual Suspects, The (1995)",Star Wars: Episode IV - A New Hope (1977),Goodfellas (1990),Braveheart (1995),Toy Story (1995),Saving Private Ryan (1998),Casablanca (1942),"Matrix, The (1999)",Fight Club (1999),"Shawshank Redemption, The (1994)",Forrest Gump (1994),Schindler's List (1993)
Louise Jones,1407,Airplane! (1980),Toy Story (1995),Big (1988),"Fish Called Wanda, A (1988)",Young Frankenstein (1974),"Blues Brothers, The (1980)",Monty Python's Life of Brian (1979),"Breakfast Club, The (1985)",Moonstruck (1987),Splash (1984),Forrest Gump (1994),Four Weddings and a Funeral (1994),Jurassic Park (1993)
Louise Jones,1408,Dances with Wolves (1990),Clear and Present Danger (1994),Die Hard: With a Vengeance (1995),Seven (a.k.a. Se7en) (1995),Braveheart (1995),Aladdin (1992),Ace Ventura: Pet Detective (1994),Stargate (1994),Crimson Tide (1995),Schindler's List (1993),Babe (1995),Mortal Kombat (1995),"Usual Suspects, The (1995)"
Louise Jones,1409,Monty Python and the Holy Grail (1975),"O Brother, Where Art Thou? (2000)",Schindler's List (1993),Blade Runner (1982),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Dead Poets Society (1989),Blazing Saddles (1974),Heat (1995),"Social Network, The (2010)",Trading Places (1983),Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),2001: A Space Odyssey (1968)
Louise Jones,1410,"Shawshank Redemption, The (1994)",Jurassic Park (1993),Braveheart (1995),Aladdin (1992),GoldenEye (1995),"Net, The (1995)",Beauty and the Beast (1991),Terminator 2: Judgment Day (1991),"Firm, The (1993)",Speed (1994),Apollo 13 (1995),Pulp Fiction (1994),Forrest Gump (1994)
Louise Jones,1411,Schindler's List (1993),Saving Private Ryan (1998),"Bourne Identity, The (2002)",Batman Begins (2005),Spider-Man (2002),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Jurassic Park (1993),Indiana Jones and the Last Crusade (1989),"Green Mile, The (1999)","Dark Knight, The (2008)","Little Princess, A (1995)","Silence of the Lambs, The (1991)",Beauty and the Beast (1991)
Louise Jones,1412,Schindler's List (1993),Fight Club (1999),Star Wars: Episode V - The Empire Strikes Back (1980),"Shawshank Redemption, The (1994)",Gladiator (2000),Saving Private Ryan (1998),"Godfather: Part II, The (1974)",Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)","Matrix, The (1999)","Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975)
Louise Jones,1413,Star Wars: Episode VI - Return of the Jedi (1983),Jurassic Park (1993),"Matrix, The (1999)",Back to the Future (1985),"Terminator, The (1984)",Blade Runner (1982),Independence Day (a.k.a. ID4) (1996),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Toy Story (1995),Forrest Gump (1994),"Mask, The (1994)",Terminator 2: Judgment Day (1991),"Silence of the Lambs, The (1991)"
Louise Jones,1414,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Princess Bride, The (1987)",Groundhog Day (1993),Aliens (1986),2001: A Space Odyssey (1968),Alien (1979),Schindler's List (1993),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Ferris Bueller's Day Off (1986),Total Recall (1990),Monty Python's Life of Brian (1979),Monty Python's The Meaning of Life (1983),Fargo (1996)
Louise Jones,1415,Jurassic Park (1993),Saving Private Ryan (1998),"Dark Knight, The (2008)",Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)","Beautiful Mind, A (2001)",Pulp Fiction (1994),Good Will Hunting (1997),Fight Club (1999),"Green Mile, The (1999)","Shawshank Redemption, The (1994)",Forrest Gump (1994),Speed (1994)
Louise Jones,1416,Fargo (1996),Chinatown (1974),"Lord of the Rings: The Return of the King, The (2003)",Eternal Sunshine of the Spotless Mind (2004),Psycho (1960),Run Lola Run (Lola rennt) (1998),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Trainspotting (1996),This Is Spinal Tap (1984),"Usual Suspects, The (1995)",Bottle Rocket (1996),Pulp Fiction (1994)
Louise Jones,1417,Memento (2000),"Usual Suspects, The (1995)","Dark Knight, The (2008)",Fight Club (1999),Interstellar (2014),Django Unchained (2012),"Departed, The (2006)",American Beauty (1999),"Matrix, The (1999)",Inglourious Basterds (2009),"Ninth Gate, The (1999)",Match Point (2005),"Prestige, The (2006)"
Louise Jones,1418,Star Wars: Episode VI - Return of the Jedi (1983),Groundhog Day (1993),"Big Lebowski, The (1998)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Princess Bride, The (1987)",Braveheart (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Austin Powers: International Man of Mystery (1997),Office Space (1999),Indiana Jones and the Last Crusade (1989),"Usual Suspects, The (1995)",Clerks (1994),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,1419,Star Wars: Episode V - The Empire Strikes Back (1980),Fight Club (1999),Forrest Gump (1994),Star Wars: Episode VI - Return of the Jedi (1983),Memento (2000),Seven (a.k.a. Se7en) (1995),Die Hard (1988),Shrek (2001),"Usual Suspects, The (1995)","Bourne Ultimatum, The (2007)",Star Wars: Episode IV - A New Hope (1977),Pulp Fiction (1994),"Shawshank Redemption, The (1994)"
Louise Jones,1420,Schindler's List (1993),Four Weddings and a Funeral (1994),Sleepless in Seattle (1993),American Beauty (1999),"Matrix, The (1999)","Piano, The (1993)",Titanic (1997),Ghost (1990),Jurassic Park (1993),Babe (1995),Sense and Sensibility (1995),Clueless (1995),Shallow Grave (1994)
Louise Jones,1421,Pulp Fiction (1994),Apollo 13 (1995),"Usual Suspects, The (1995)",Outbreak (1995),Braveheart (1995),Aladdin (1992),"Firm, The (1993)",Ace Ventura: Pet Detective (1994),Stargate (1994),Beauty and the Beast (1991),Casino (1995),Babe (1995),Seven (a.k.a. Se7en) (1995)
Louise Jones,1422,Jurassic Park (1993),Forrest Gump (1994),"Lion King, The (1994)","Firm, The (1993)","Mask, The (1994)",Speed (1994),Terminator 2: Judgment Day (1991),"Usual Suspects, The (1995)",Mrs. Doubtfire (1993),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Toy Story (1995),GoldenEye (1995),Ace Ventura: When Nature Calls (1995)
Louise Jones,1423,Shakespeare in Love (1998),Toy Story (1995),Gladiator (2000),"Matrix, The (1999)",Austin Powers: The Spy Who Shagged Me (1999),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Shrek (2001),L.A. Confidential (1997),Titanic (1997),Star Wars: Episode IV - A New Hope (1977),One Flew Over the Cuckoo's Nest (1975),Arlington Road (1999),"Sixth Sense, The (1999)"
Louise Jones,1424,Little Miss Sunshine (2006),"Departed, The (2006)",Inception (2010),Sin City (2005),Fight Club (1999),V for Vendetta (2006),Monty Python and the Holy Grail (1975),Stranger than Fiction (2006),Slumdog Millionaire (2008),"Bourne Supremacy, The (2004)",Adaptation (2002),"Shawshank Redemption, The (1994)","Godfather, The (1972)"
Louise Jones,1425,"Fugitive, The (1993)",Fargo (1996),Terminator 2: Judgment Day (1991),Die Hard: With a Vengeance (1995),Clear and Present Danger (1994),Get Shorty (1995),Jurassic Park (1993),Ace Ventura: Pet Detective (1994),Like Water for Chocolate (Como agua para chocolate) (1992),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Amateur (1994),Mute Witness (1994)
Louise Jones,1426,Back to the Future (1985),"Silence of the Lambs, The (1991)","Lord of the Rings: The Fellowship of the Ring, The (2001)","Godfather, The (1972)",Jurassic Park (1993),Gladiator (2000),"Lord of the Rings: The Return of the King, The (2003)",Men in Black (a.k.a. MIB) (1997),Batman Begins (2005),"Lord of the Rings: The Two Towers, The (2002)",Pulp Fiction (1994),"Shawshank Redemption, The (1994)","Matrix Revolutions, The (2003)"
Louise Jones,1427,"Departed, The (2006)",American Beauty (1999),Eternal Sunshine of the Spotless Mind (2004),Donnie Darko (2001),No Country for Old Men (2007),Django Unchained (2012),Apocalypse Now (1979),Slumdog Millionaire (2008),Casino (1995),WALL·E (2008),"Usual Suspects, The (1995)",Taxi Driver (1976),Pulp Fiction (1994)
Louise Jones,1428,One Flew Over the Cuckoo's Nest (1975),"Beautiful Mind, A (2001)","Green Mile, The (1999)",Saving Private Ryan (1998),"Others, The (2001)",Shutter Island (2010),"Prestige, The (2006)",In Bruges (2008),Old Boy (2003),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Seven (a.k.a. Se7en) (1995),Fargo (1996),"Godfather, The (1972)"
Louise Jones,1429,"Silence of the Lambs, The (1991)",Shrek (2001),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),X2: X-Men United (2003),Mission: Impossible (1996),Indiana Jones and the Last Crusade (1989),Total Recall (1990),"Lion King, The (1994)",Eternal Sunshine of the Spotless Mind (2004),Contact (1997),Star Wars: Episode IV - A New Hope (1977),Forrest Gump (1994)
Louise Jones,1430,"Silence of the Lambs, The (1991)",Schindler's List (1993),Saving Private Ryan (1998),Apollo 13 (1995),Fight Club (1999),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Goodfellas (1990),Men in Black (a.k.a. MIB) (1997),Seven (a.k.a. Se7en) (1995),Star Wars: Episode I - The Phantom Menace (1999),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Toy Story (1995),Dazed and Confused (1993)
Louise Jones,1431,Forrest Gump (1994),Interstellar (2014),Iron Man (2008),Fight Club (1999),Batman Begins (2005),Guardians of the Galaxy (2014),Gladiator (2000),Avatar (2009),Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode V - The Empire Strikes Back (1980),Clueless (1995),Star Wars: Episode VI - Return of the Jedi (1983),Shakespeare in Love (1998)
Louise Jones,1432,Memento (2000),Intouchables (2011),American Beauty (1999),Slumdog Millionaire (2008),"Truman Show, The (1998)","Dark Knight Rises, The (2012)",Schindler's List (1993),Eternal Sunshine of the Spotless Mind (2004),Ex Machina (2015),Life Is Beautiful (La Vita è bella) (1997),Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)",Pulp Fiction (1994)
Louise Jones,1433,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Terminator, The (1984)",Forrest Gump (1994),Star Wars: Episode I - The Phantom Menace (1999),Independence Day (a.k.a. ID4) (1996),Indiana Jones and the Last Crusade (1989),"Godfather, The (1972)",Total Recall (1990),Die Hard (1988),"Princess Bride, The (1987)",Get Shorty (1995),Braveheart (1995),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,1434,High Fidelity (2000),Rushmore (1998),American Beauty (1999),Run Lola Run (Lola rennt) (1998),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Best in Show (2000),"Big Lebowski, The (1998)",Aladdin (1992),Election (1999),Go (1999),"Limey, The (1999)",Being John Malkovich (1999),American Movie (1999)
Louise Jones,1435,High Fidelity (2000),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Meet the Parents (2000),Erin Brockovich (2000),Gladiator (2000),Cast Away (2000),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","O Brother, Where Art Thou? (2000)",Being John Malkovich (1999),"Royal Tenenbaums, The (2001)",M*A*S*H (a.k.a. MASH) (1970),Nurse Betty (2000),Best in Show (2000)
Louise Jones,1436,Philadelphia (1993),"Truth About Cats & Dogs, The (1996)","American President, The (1995)","Great Escape, The (1963)","Streetcar Named Desire, A (1951)","Madness of King George, The (1994)","Rock, The (1996)","Jungle Book, The (1994)","Adventures of Priscilla, Queen of the Desert, The (1994)",Ben-Hur (1959),Babe (1995),Dead Man Walking (1995),Mr. Holland's Opus (1995)
Louise Jones,1437,"Lion King, The (1994)",Speed (1994),Terminator 2: Judgment Day (1991),"Mask, The (1994)","Rock, The (1996)",Titanic (1997),Beauty and the Beast (1991),"Fifth Element, The (1997)",Pretty Woman (1990),"Matrix, The (1999)",Jurassic Park (1993),Executive Decision (1996),Ghost (1990)
Louise Jones,1438,"Silence of the Lambs, The (1991)",Clear and Present Danger (1994),Batman (1989),Star Trek: Generations (1994),"Mask, The (1994)",GoldenEye (1995),Waterworld (1995),Home Alone (1990),Legends of the Fall (1994),Disclosure (1994),Sense and Sensibility (1995),Clueless (1995),"Usual Suspects, The (1995)"
Louise Jones,1439,"Dark Knight Rises, The (2012)",Fight Club (1999),V for Vendetta (2006),The Martian (2015),Jurassic Park (1993),Star Wars: Episode VII - The Force Awakens (2015),The Imitation Game (2014),Ratatouille (2007),Back to the Future (1985),Pulp Fiction (1994),Braveheart (1995),Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)"
Louise Jones,1440,Inglourious Basterds (2009),Memento (2000),Goodfellas (1990),The Imitation Game (2014),"Departed, The (2006)",Snatch (2000),Mad Max: Fury Road (2015),One Flew Over the Cuckoo's Nest (1975),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Prestige, The (2006)",Trainspotting (1996),Reservoir Dogs (1992),Full Metal Jacket (1987)
Louise Jones,1441,Die Hard: With a Vengeance (1995),Braveheart (1995),Outbreak (1995),Star Trek: Generations (1994),"Silence of the Lambs, The (1991)",Crimson Tide (1995),Mrs. Doubtfire (1993),Interview with the Vampire: The Vampire Chronicles (1994),Speed (1994),Terminator 2: Judgment Day (1991),Waterworld (1995),Forrest Gump (1994),"Fugitive, The (1993)"
Louise Jones,1442,"Departed, The (2006)",Fargo (1996),Braveheart (1995),No Country for Old Men (2007),"Beautiful Mind, A (2001)",Star Trek (2009),Snatch (2000),"Prestige, The (2006)",Trainspotting (1996),Batman Begins (2005),Seven (a.k.a. Se7en) (1995),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Die Hard (1988)
Louise Jones,1443,Schindler's List (1993),Toy Story (1995),Seven (a.k.a. Se7en) (1995),Star Wars: Episode V - The Empire Strikes Back (1980),Outbreak (1995),Interview with the Vampire: The Vampire Chronicles (1994),Star Trek: Generations (1994),Aladdin (1992),Dumb & Dumber (Dumb and Dumber) (1994),Back to the Future (1985),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Pulp Fiction (1994),"Usual Suspects, The (1995)"
Louise Jones,1444,American Beauty (1999),"Dark Knight, The (2008)",Forrest Gump (1994),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Eternal Sunshine of the Spotless Mind (2004),Full Metal Jacket (1987),"Prestige, The (2006)",Taxi Driver (1976),"Bourne Ultimatum, The (2007)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Casino (1995),"Usual Suspects, The (1995)",Pulp Fiction (1994)
Louise Jones,1445,Star Wars: Episode VI - Return of the Jedi (1983),"Rock, The (1996)",Fargo (1996),Mr. Holland's Opus (1995),"Birdcage, The (1996)",Eraser (1996),Jerry Maguire (1996),Star Trek: First Contact (1996),Executive Decision (1996),Sense and Sensibility (1995),Toy Story (1995),Star Wars: Episode IV - A New Hope (1977),James and the Giant Peach (1996)
Louise Jones,1446,Forrest Gump (1994),"Sixth Sense, The (1999)",Apollo 13 (1995),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Star Wars: Episode V - The Empire Strikes Back (1980),"Fugitive, The (1993)",Rain Man (1988),Platoon (1986),Life Is Beautiful (La Vita è bella) (1997),Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),"Shawshank Redemption, The (1994)",Jurassic Park (1993)
Louise Jones,1447,"Godfather: Part II, The (1974)","Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Seven (a.k.a. Se7en) (1995),Rocky (1976),Titanic (1997),Gladiator (2000),Forrest Gump (1994),Casino (1995),When Harry Met Sally... (1989),Carlito's Way (1993),"Silence of the Lambs, The (1991)",Goodfellas (1990)
Louise Jones,1448,Fargo (1996),Casablanca (1942),Sense and Sensibility (1995),Aladdin (1992),Braveheart (1995),Snow White and the Seven Dwarfs (1937),"Princess Bride, The (1987)","Bug's Life, A (1998)",Annie Hall (1977),E.T. the Extra-Terrestrial (1982),Toy Story (1995),Babe (1995),Burnt by the Sun (Utomlyonnye solntsem) (1994)
Louise Jones,1449,Toy Story (1995),Catch Me If You Can (2002),Ocean's Eleven (2001),Mrs. Doubtfire (1993),Dumb & Dumber (Dumb and Dumber) (1994),Batman Begins (2005),"Matrix, The (1999)",Ace Ventura: Pet Detective (1994),Gladiator (2000),Star Wars: Episode VI - Return of the Jedi (1983),Happy Gilmore (1996),Tommy Boy (1995),Christmas Vacation (National Lampoon's Christmas Vacation) (1989)
Louise Jones,1450,Batman (1989),Clear and Present Danger (1994),Braveheart (1995),Pulp Fiction (1994),Die Hard: With a Vengeance (1995),Stargate (1994),"Mask, The (1994)",Outbreak (1995),Mrs. Doubtfire (1993),Star Trek: Generations (1994),GoldenEye (1995),Babe (1995),Apollo 13 (1995)
Louise Jones,1451,Seven (a.k.a. Se7en) (1995),Alien (1979),"Wizard of Oz, The (1939)",Taxi Driver (1976),One Flew Over the Cuckoo's Nest (1975),Fargo (1996),L.A. Confidential (1997),Casablanca (1942),"Godfather, The (1972)",Shrek (2001),Babe (1995),"Silence of the Lambs, The (1991)",Singin' in the Rain (1952)
Louise Jones,1452,Indiana Jones and the Last Crusade (1989),Jurassic Park (1993),Monty Python and the Holy Grail (1975),Apollo 13 (1995),"Lion King, The (1994)","Godfather, The (1972)",Dances with Wolves (1990),Die Hard (1988),Independence Day (a.k.a. ID4) (1996),American Beauty (1999),Babe (1995),"Usual Suspects, The (1995)",Pulp Fiction (1994)
Louise Jones,1453,"Matrix Reloaded, The (2003)",Indiana Jones and the Last Crusade (1989),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Indiana Jones and the Temple of Doom (1984),Braveheart (1995),"Bourne Identity, The (2002)","Lion King, The (1994)",Memento (2000),Gladiator (2000),V for Vendetta (2006),Star Trek VI: The Undiscovered Country (1991),Men in Black (a.k.a. MIB) (1997),Starship Troopers (1997)
Louise Jones,1454,Memento (2000),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Big Lebowski, The (1998)",Rear Window (1954),Kill Bill: Vol. 2 (2004),L.A. Confidential (1997),"Lock, Stock & Two Smoking Barrels (1998)",Eternal Sunshine of the Spotless Mind (2004),Donnie Darko (2001),Jaws (1975),"Usual Suspects, The (1995)",Taxi Driver (1976),Pulp Fiction (1994)
